"Peak Brightness Date/Time (UT)","Latitude (deg.)","Longitude (deg.)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total Radiated Energy (J)","Calculated Total Impact Energy (kt)"
"2017-07-13 09:30:36","23.1N","60.7E","35.0","13.7","-10.0","-6.5","-6.8","7.3e10","0.23"
"2017-06-30 14:26:45","34.3S","134.5E","20.0","15.2","10.9","-9.7","4.2","9.4e10","0.29"
"2017-06-23 20:21:55","57.0N","143.7E","35.1","24.3","17.7","13.1","-10.3","18.4e10","0.52"
"2017-06-20 13:41:32","54.2S","133.0E","33.3","13.6","8.7","-5.7","8.8","63.6e10","1.6"
"2017-05-24 07:03:03","9.1S","101.8E","46.0","18.4","-6.5","-16.5","-5.0","9.0e10","0.28"
"2017-05-22 17:44:39","49.6S","157.6W","33.0","","","","","3.5e10","0.12"
"2017-05-14 09:30:35","26.0S","32.4E","33.0","","","","","3.5e10","0.12"
"2017-04-30 21:28:28","25.7S","56.2E","32.4","21.5","-13.4","-14.2","8.9","15.0e10","0.43"
"2017-03-11 04:51:21","28.3N","60.2W","28.0","","","","","126.3e10","2.9"
"2017-03-09 04:16:37","40.5N","18.0W","23.0","36.5","-15.3","25.8","-20.8","40.0e10","1"
"2017-03-08 22:21:59","26.1S","174.9E","37.0","","","","","7.2e10","0.23"
"2017-02-25 01:22:59","29.5N","13.5E","25.4","12.2","-7.6","-9.3","2.2","6.5e10","0.21"
"2017-02-22 18:47:30","50.7S","66.0W","","","","","","3.8e10","0.13"
"2017-02-18 19:48:29","6.2N","60.4E","38.0","24.2","-6.6","-22.7","-5.3","29.5e10","0.79"
"2017-02-07 17:37:31","27.4S","14.8W","54.0","","","","","2.0e10","0.073"
"2017-02-06 06:09:59","10.4N","131.6E","33.5","","","","","6.6e10","0.21"
"2016-12-23 03:29:09","21.3N","49.3E","42.0","29.7","-22.4","16.4","-10.5","3.8e10","0.13"
"2016-12-07 04:51:39","34.5S","126.6W","","","","","","11.7e10","0.35"
"2016-11-29 08:05:38","30.6S","93.1W","","","","","","3.1e10","0.11"
"2016-11-24 14:10:34","15.2S","80.3E","30.6","17.4","9.1","-11.2","9.7","13.8e10","0.4"
"2016-11-03 17:14:29","39.6S","16.3W","37","","","","","7.6e10","0.24"
"2016-10-01 20:23:45","36.2N","6.7E","27.8","14.2","-10.0","3.9","-9.3","3.1e10","0.11"
"2016-09-22 04:57:49","51.8S","178.5E","40.0","17.5","-2.5","-3.3","17.0","7.1e10","0.22"
"2016-09-14 15:01:51","3.5S","44.6E","54.0","18.3","3.5","-16.2","7.7","7.6e10","0.24"
"2016-08-27 21:45:13","56.9S","162.2E","42.0","","","","","14.2e10","0.41"
"2016-08-11 05:59:58","43.7S","53.8E","34.3","14.9","-0.7","-11.4","9.6","18.4e10","0.52"
"2016-08-05 18:02:44","46.4N","171.6E","32.4","","","","","12.1e10","0.36"
"2016-07-21 00:48:53","7.8N","1.6W","37.0","","","","","4.5e10","0.15"
"2016-07-05 01:24:26","1.0N","48.6E","38.2","25.1","-10.3","-2.0","-22.8","15.3e10","0.44"
"2016-06-27 10:02:42","15.8N","11.9W","33.3","29.1","-29.1","1.5","0.7","45.8e10","1.2"
"2016-06-05 06:12:55","17.4S","138.3E","28.7","14.5","6.0","-11.9","5.7","33.1e10","0.87"
"2016-06-02 10:56:32","33.8N","110.9W","","","","","","17.2e10","0.49"
"2016-05-29 12:14:55","10.2N","48.8W","32.0","","","","","6.9e10","0.22"
"2016-05-20 11:59:46","32.8S","15.1E","30.6","20.8","5.4","-9.9","17.5","2.0e10","0.073"
"2016-05-16 10:09:41","3.2N","6.6E","41.7","12.2","-6.7","-3.3","-9.6","51.9e10","1.3"
"2016-05-13 00:34:01","26.2N","122.3W","33.0","","","","","10.1e10","0.31"
"2016-04-24 05:39:24","9.8N","42.8W","50.0","","","","","14.6e10","0.42"
"2016-04-18 11:59:10","20.7N","14.5W","31.5","17.1","-3.5","2.2","-16.6","22.4e10","0.62"
"2016-04-12 09:51:40","38.3N","162.2E","","","","","","2.0e10","0.073"
"2016-04-10 14:57:53","22.0N","149.0E","35.2","15.1","4.7","-12.9","-6.4","65.5e10","1.6"
"2016-03-16 23:54:20","49.2S","6.3W","42.0","13.3","-7.6","9.1","6.0","3.2e10","0.11"
"2016-03-03 01:32:43","48.0S","51.0E","31.8","11.7","4.8","-7.1","7.9","5.8e10","0.19"
"2016-02-23 03:59:13","32.3N","67.2E","44.0","17.9","-8.5","-1.6","-15.7","3.5e10","0.12"
"2016-02-21 05:58:53","36.5N","37.2W","32.0","","","","","36.9e10","0.96"
"2016-02-19 08:15:02","0.7N","11.6W","39.4","15.5","-14.9","-0.5","4.1","20.2e10","0.56"
"2016-02-13 00:10:13","3.1N","117.9E","","","","","","5.1e10","0.17"
"2016-02-06 13:55:09","30.4S","25.5W","31.0","15.6","2.7","14.5","5.0","685.3e10","13"
"2016-01-27 09:59:16","45.8S","53.6E","37","11.5","-10.0","-4.4","3.6","5.0e10","0.16"
"2016-01-21 16:44:54","10.8S","0.7E","42.5","18.1","-3.8","-17.7","-1.2","4.6e10","0.15"
"2015-12-30 13:07:50","33.8N","160.7W","39.0","","","","","2.2e10","0.079"
"2015-12-21 02:32:48","5.9N","143.0E","42.2","12.1","6.4","-10.0","2.5","8.3e10","0.26"
"2015-12-08 00:34:23","69.9S","150.5E","38.0","","","","","19.7e10","0.55"
"2015-11-13 14:59:27","16.0N","124.3E","28.0","","","","","10.2e10","0.31"
"2015-11-02 21:34:20","41.4S","33.0E","37.0","","","","","7.8e10","0.24"
"2015-10-31 11:34:30","9.0N","138.0W","71.0","","","","","9.7e10","0.29"
"2015-10-30 07:07:12","85.0S","161.7W","","","","","","18.0e10","0.51"
"2015-10-13 12:23:08","8.0S","52.5W","38.9","12.9","-6.6","3.8","10.4","2.3e10","0.082"
"2015-10-11 00:07:46","55.4S","18.8W","","","","","","3.0e10","0.1"
"2015-10-10 09:57:51","51.0S","21.1W","51.8","11.8","-1.3","-5.1","10.6","3.6e10","0.12"
"2015-10-04 21:02:17","22.0N","171.6W","36.1","","","","","4.4e10","0.15"
"2015-09-17 21:03:14","43.1S","94.9E","","","","","","9.8e10","0.3"
"2015-09-14 23:50:50","5.8N","15.2W","","","","","","7.0e10","0.22"
"2015-09-08 13:46:42","6.3N","29.9E","44.4","16.1","-11.5","-11.3","-0.9","2.0e10","0.073"
"2015-09-07 01:41:19","14.5N","98.9E","29.3","21.0","16.8","-12.0","-3.8","179.8e10","3.9"
"2015-09-02 20:10:30","39.1N","40.2E","39.8","24.1","10.3","-12.2","-18.0","3.7e10","0.13"
"2015-08-04 10:24:59","9.6S","125.9E","","","","","","2.9e10","0.1"
"2015-07-19 07:06:26","20.6N","87.6W","22.0","17.8","9.4","13.0","7.8","2.3e10","0.082"
"2015-07-12 22:23:14","31.0N","159.6E","41.0","","","","","2.2e10","0.079"
"2015-07-04 01:40:11","38.6N","103.1E","46.3","49.0","0.9","-40.4","-27.7","5.6e10","0.18"
"2015-06-14 03:03:06","6.3N","124.1E","32.4","31.9","-4.7","-17.8","-26.0","7.1e10","0.22"
"2015-06-12 17:03:35","1.3S","32.1W","43.5","","","","","17.6e10","0.5"
"2015-06-10 17:43:03","11.5S","161.9W","61.1","","","","","38.4e10","1"
"2015-06-02 08:44:50","6.4S","142.7W","","","","","","38.0e10","0.99"
"2015-05-20 10:20:41","1.0N","172.6E","32.4","","","","","3.6e10","0.12"
"2015-05-18 17:13:51","32.4N","139.1E","29.0","","","","","4.3e10","0.14"
"2015-05-10 07:45:01","46.3S","179.3W","29.6","12.2","11.2","0.9","4.7","14.3e10","0.42"
"2015-05-07 20:34:34","21.5S","29.3W","37.0","17.3","-16.2","-5.8","1.4","5.2e10","0.17"
"2015-04-30 10:21:01","48.7S","139.1E","26.7","12.9","12.2","-4.2","0.9","10.5e10","0.32"
"2015-04-21 01:42:51","37.7N","39.6W","37.4","21.3","-15.3","12.8","7.4","8.8e10","0.27"
"2015-04-10 01:14:27","42.8S","8.2E","","","","","","6.5e10","0.21"
"2015-04-08 04:06:31","25.5S","51.5E","36.3","19.2","8.0","-15.6","-7.9","17.3e10","0.49"
"2015-04-03 01:39:38","8.4N","157.9W","","","","","","4.2e10","0.14"
"2015-03-30 21:33:52","36.1S","5.5W","33.1","13.8","-13.7","-1.7","0.8","6.4e10","0.2"
"2015-03-18 00:04:50","5.4S","159.3E","50.0","","","","","12.1e10","0.36"
"2015-03-11 06:18:59","8.0N","119.1E","35.2","19.9","5.5","-10.5","-16.0","7.2e10","0.23"
"2015-03-08 04:26:28","39.1S","118.6W","","","","","","2.0e10","0.073"
"2015-03-04 04:30:05","15.9S","88.1E","39.8","18.0","7.8","-16.0","-2.5","5.5e10","0.18"
"2015-02-26 22:06:24","68.0N","149.0W","33.7","21.1","5.6","-2.3","-20.2","18.8e10","0.53"
"2015-02-25 10:53:24","12.4N","122.4W","42","","","","","5.8e10","0.19"
"2015-02-17 13:19:50","8.0S","11.2W","39","28.8","-28.2","3.4","4.6","3.3e10","0.11"
"2015-01-09 17:31:47","23.3S","49.2W","","","","","","2.2e10","0.079"
"2015-01-09 10:41:11","2.0N","28.8E","36.0","17.5","-10.7","-7.6","11.6","13.9e10","0.41"
"2015-01-07 01:05:59","45.7N","26.9E","45.5","35.7","-35.4","1.8","-4.4","13.6e10","0.4"
"2015-01-02 13:39:19","31.1S","140.0E","38.1","18.1","4.5","-14.4","-10.0","2.0e10","0.073"
"2014-12-13 02:53:52","86.7N","162.1W","30.7","21.7","15.3","-13.3","-7.8","4.4e10","0.15"
"2014-12-12 06:48:11","33.5N","144.9E","26.3","12.0","11.5","-2.8","-2.2","3.3e10","0.11"
"2014-12-09 21:19:18","76.6N","96.3E","26.3","","","","","7.8e10","0.24"
"2014-11-28 11:47:18","45.8S","172.7W","26.1","13.4","0.4","-1.4","13.3","70.0e10","1.7"
"2014-11-27 12:12:52","18.8S","73.4W","38.0","","","","","5.5e10","0.18"
"2014-11-26 23:16:51","69.5S","179.7W","23.3","25.3","21.3","2.2","13.4","11.8e10","0.35"
"2014-11-26 17:40:16","68.2S","24.0W","37.0","19.9","-7.0","16.1","9.4","10.5e10","0.32"
"2014-11-04 20:13:30","43.1N","115.8E","22.2","16.0","-7.2","-12.1","-7.7","15.6e10","0.45"
"2014-10-21 18:55:37","22.2N","132.9W","","","","","","3.4e10","0.12"
"2014-10-17 14:07:36","4.6S","66.3W","39.0","","","","","7.2e10","0.23"
"2014-10-14 10:25:03","2.0S","119.2E","27.2","16.9","15.0","-6.9","-3.5","2.9e10","0.1"
"2014-10-06 20:02:15","43.7S","85.7E","","","","","","3.9e10","0.13"
"2014-09-09 18:55:46","3.2N","137.2E","32.5","","","","","2.8e10","0.098"
"2014-09-05 21:37:26","22.7N","150.0W","","","","","","3.5e10","0.12"
"2014-08-29 23:15:39","6.2S","49.9W","","","","","","2.6e10","0.092"
"2014-08-28 03:07:45","3.2N","45.4W","","","","","","3.4e10","0.12"
"2014-08-23 06:29:41","61.7S","132.6E","22.2","16.2","-2.3","5.7","16.5","381.9e10","7.6"
"2014-07-29 07:38:07","49.2S","172.2W","","","","","","7.3e10","0.23"
"2014-07-29 03:07:43","33.9S","115.9W","","","","","","5.3e10","0.17"
"2014-06-28 02:40:07","18.9N","141.2E","26.3","12.4","12.0","3.5","-10.5","24.5e10","0.67"
"2014-06-26 05:54:41","71.5S","93.4E","28.5","11.2","7.0","2.9","8.3","6.1e10","0.2"
"2014-05-29 01:12:36","21.9N","131.1W","28.7","","","","","5.8e10","0.19"
"2014-05-16 20:06:28","39.4S","95.9W","30.8","18.0","2.9","13.4","-12.5","13.6e10","0.4"
"2014-05-16 12:42:48","44.2S","176.2W","44.0","16.5","14.4","4.6","6.5","30.9e10","0.82"
"2014-05-08 19:42:37","36.9S","87.3E","35.4","19.0","-2.0","-16.1","9.9","105e10","2.4"
"2014-03-29 13:45:41","28.7S","121.5E","30.7","16.3","10.0","-12.7","2.2","3.9e10","0.13"
"2014-03-18 11:02:37","0.0N","111.8W","30.5","","","","","54e10","1.3"
"2014-03-03 15:00:21","29.0S","94.9W","","","","","","9.4e10","0.29"
"2014-02-18 12:50:44","32.8S","61.5W","","","","","","2.6e10","0.092"
"2014-02-13 06:47:42","13.3N","110.7W","25.0","","","","","63e10","1.5"
"2014-01-15 02:46:19","18.5S","141.8E","29.6","","","","","14.0e10","0.41"
"2014-01-12 16:00:48","2.9N","64.4E","37.0","16.2","-5.2","-15.1","2.6","7.8e10","0.24"
"2014-01-08 17:05:34","1.3S","147.6E","18.7","44.8","-3.4","-43.5","-10.3","3.1e10","0.11"
"2013-12-23 08:30:57","39.5N","2.0E","34.3","15.1","-1.1","11.4","-9.9","14.7e10","0.43"
"2013-12-08 03:10:09","32.8N","165.1W","23.5","11.8","2.3","2.5","-11.3","6.4e10","0.2"
"2013-11-21 01:50:35","44.7N","35.3E","59.3","12.4","-5.0","-11.0","-2.7","7.5e10","0.23"
"2013-10-12 16:06:45","19.1S","25.0W","22.2","12.8","-8.0","8.4","-5.5","161.0e10","3.5"
"2013-10-09 17:27:36","","","","","","","","6.0e10","0.19"
"2013-09-24 15:31:16","10.3S","164.7W","40.7","","","","","16.0e10","0.46"
"2013-08-12 18:08:02","34.4S","118.2E","66.6","","","","","4.4e10","0.15"
"2013-07-31 07:00:38","","","","","","","","3.9e10","0.13"
"2013-07-31 03:50:14","31.8S","137.1E","29.1","17.8","17.7","-2.3","-0.1","6.9e10","0.22"
"2013-07-30 02:36:58","50.2S","90.2E","25.6","18.8","15.9","-8.6","5.1","39.0e10","1"
"2013-07-27 08:30:36","0.3N","156.2E","26.5","22.1","16.0","14.9","-3.3","12.0e10","0.36"
"2013-07-26 11:32:26","21.0N","178.5W","37.0","","","","","2.0e10","0.073"
"2013-07-18 00:46:37","","","","","","","","2.2e10","0.079"
"2013-06-13 02:51:14","","","","","","","","2.2e10","0.079"
"2013-06-01 22:49:48","65.6S","138.4E","28.9","","","","","3.4e10","0.12"
"2013-05-14 23:20:21","3.0S","76.4E","","","","","","2.0e10","0.073"
"2013-04-30 08:40:38","35.5N","30.7W","21.2","12.1","1","9","-8","511e10","10"
"2013-04-21 06:23:12","28.1S","64.6W","40.7","14.9","5","14","1","106.6e10","2.5"
"2013-03-12 10:32:59","32.7S","17.1E","26.0","","","","","2.9e10","0.1"
"2013-02-20 13:13:07","23.0S","38.8W","","13.6","-11","-8","-1","3.2e10","0.1"
"2013-02-15 03:20:33","54.8N","61.1E","23.3","18.6","+12.8","-13.3","-2.4","3.75e14","440"
"2013-02-07 13:12:24","18.8S","158.6W","","","","","","6.5e10","0.21"
"2013-01-25 07:40:18","60.3N","64.6W","","","","","","340e10","6.9"
"2013-01-12 03:04:21","15.1S","155.6W","36.1","","","","","4.8e10","0.16"
"2012-12-30 07:25:35","17.3N","83.6W","","","","","","19.8e10","0.55"
"2012-12-18 11:19:17","","","","","","","","2.7e10","0.095"
"2012-11-20 20:37:31","2.5N","29.6E","33.3","14.3","-12.2","-5.3","5.3","2.5e10","0.089"
"2012-11-20 06:25:11","8.0S","86.0W","","","","","","12.0e10","0.36"
"2012-10-25 15:57:19","","","","","","","","3.0e10","0.1"
"2012-10-19 16:26:22","75.4S","49.6E","29.3","13.2","-2.3","-3.9","12.4","2.3e10","0.082"
"2012-10-09 00:54:55","51.2N","84.6W","27.8","13.5","3.4","12.0","5.1","21.0e10","0.58"
"2012-10-03 22:50:12","41.5S","21.9W","","17.0","-2.4","5.5","15.9","28.0e10","0.75"
"2012-10-02 16:38:38","8.1S","111.9W","35.0","15.4","1.4","15.3","1.0","47.0e10","1.2"
"2012-09-28 05:44:12","6.9S","73.7E","","","","","","3.8e10","0.13"
"2012-09-18 19:34:39","1.2N","52.2W","28.1","18.3","-1.9","14.1","-11.5","24.4e10","0.67"
"2012-09-11 22:07:30","18.9S","105.2E","","","","","","5.2e10","0.17"
"2012-09-10 01:03:32","69.8S","111.7W","23.8","16.9","-10.2","-5.2","12.4","2.3e10","0.082"
"2012-08-27 06:57:43","18.3S","64.2E","38.7","28.9","-8.0","-23.7","-14.5","6.8e10","0.22"
"2012-08-26 14:55:47","11.8N","117.0E","36.0","12.7","5.0","-11.6","-0.7","24.9e10","0.68"
"2012-08-13 05:31:53","","","","","","","","3.3e10","0.11"
"2012-07-27 04:19:50","63.1N","172.3E","27.2","","","","","3.4e10","0.12"
"2012-07-25 07:48:20","36.4N","41.5E","26.8","18.5","0.8","2.0","-18.4","13.3e10","0.39"
"2012-06-05 07:44:54","","","","","","","","2.4e10","0.086"
"2012-05-25 11:31:24","41.8S","36.2W","","","","","","6.0e10","0.19"
"2012-05-22 08:31:42","","","","","","","","21.1e10","0.59"
"2012-05-15 11:04:17","61.8S","135.5W","33.3","17.1","-0.8","1.1","17.0","13.2e10","0.39"
"2012-05-04 21:54:49","76.7N","10.6W","","","","","","22.9e10","0.63"
"2012-04-23 22:01:10","36.2N","107.4E","25.2","","","","","4.4e10","0.15"
"2012-04-21 16:08:23","15.8S","174.8W","","","","","","14.3e10","0.42"
"2012-04-19 22:12:10","5.5N","16.8E","","","","","","3.0e10","0.1"
"2012-04-02 16:50:33","28.1N","95.2W","","","","","","3.2e10","0.11"
"2012-03-12 06:40:44","2.5N","139.8E","25.0","11.8","0.1","-11.8","0.3","9.9e10","0.3"
"2012-03-03 21:28:24","7.8N","2.7E","20.4","","","","","10.1e10","0.31"
"2012-03-01 03:12:40","46.9N","29.8W","","","","","","2.2e10","0.079"
"2012-02-24 19:11:41","22.7S","30.8E","","","","","","3.7e10","0.13"
"2012-02-17 10:47:16","3.2S","39.9W","45.6","","","","","15.4e10","0.44"
"2012-02-16 04:50:52","9.8N","151.8E","","","","","","9.8e10","0.3"
"2012-02-12 05:25:52","31.7S","54.9E","61.0","","","","","14.0e10","0.41"
"2012-02-04 14:42:51","32.4N","0.1E","34.2","12.2","-3.9","10.9","4.0","15.0e10","0.43"
"2012-01-15 12:26:20","64.1S","109.9E","26.3","12.3","-1.9","5.1","11.0","2.1e10","0.076"
"2012-01-11 02:23:15","32.2N","88.5E","","","","","","8.5e10","0.26"
"2011-12-19 11:35:39","30.2S","52.6E","36.1","","","","","13.5e10","0.4"
"2011-12-14 05:01:38","62.9S","89.6E","32.4","","","","","5.0e10","0.16"
"2011-12-11 17:29:33","","","","","","","","2.9e10","0.1"
"2011-11-20 05:25:05","27.9S","116.3E","","","","","","2.3e10","0.082"
"2011-10-12 07:13:20","26.4S","78.4W","","","","","","3.6e10","0.12"
"2011-09-13 23:36:47","19.9S","13.8W","21.3","16.7","-3.7","1.8","16.2","6.7e10","0.21"
"2011-08-31 09:44:13","18.6N","5.1W","","","","","","2.7e10","0.095"
"2011-08-20 20:01:37","27.2S","2.8W","","","","","","2.3e10","0.082"
"2011-08-18 14:55:45","","","","","","","","2.3e10","0.082"
"2011-08-11 02:56:08","","","","","","","","3.5e10","0.12"
"2011-08-04 07:25:57","40.7S","86.7W","63.0","","","","","2.8e10","0.098"
"2011-07-27 23:00:36","45.3S","63.5E","29.6","","","","","4.4e10","0.15"
"2011-07-07 23:25:54","","","","","","","","3.3e10","0.11"
"2011-07-05 15:42:41","29.1N","139.7E","40.7","","","","","6.5e10","0.21"
"2011-07-04 09:18:04","51.7S","175.0E","","","","","","2.9e10","0.1"
"2011-06-16 11:51:50","67.3N","21.4W","40.5","","","","","2.4e10","0.086"
"2011-05-25 05:40:02","4.1N","14.0E","59.0","11.6","-3.4","-10.8","2.4","228.0e10","4.8"
"2011-05-16 13:39:06","1.2S","92.8E","","","","","","2.0e10","0.073"
"2011-04-27 20:38:09","1.4N","126.6W","28.7","","","","","22.0e10","0.61"
"2011-04-27 11:21:44","","","","","","","","2.4e10","0.086"
"2011-04-17 11:21:44","","","","","","","","2.4e10","0.086"
"2011-04-11 21:43:40","","","","","","","","3.8e10","0.13"
"2011-04-06 08:30:55","71.1N","43.5W","22.2","12.7","3.3","11.8","-3.5","14.8e10","0.43"
"2011-03-24 20:23:58","0.6N","127.5W","59.0","","","","","5.8e10","0.19"
"2011-03-23 04:24:46","","","","","","","","3.1e10","0.11"
"2011-03-23 04:16:32","16.8S","85.6W","","","","","","2.2e10","0.079"
"2011-03-01 10:37:54","53.5N","103.9E","30.6","11.9","-6.7","-1.1","-9.8","3.7e10","0.13"
"2011-02-21 05:07:03","26.3N","43.7E","44.4","18.0","10.3","-14.8","0.1","3.9e10","0.13"
"2011-02-12 11:00:12","7.8N","95.3W","","","","","","2.0e10","0.073"
"2011-01-21 15:11:43","18.9N","44.6W","61.0","","","","","7.2e10","0.23"
"2011-01-08 19:38:44","33.3N","125.8W","48.0","","","","","2.9e10","0.1"
"2010-12-25 23:24:00","38.0N","158.0E","26.0","18.1","18","-2","-4","2.00e13","33"
"2010-12-14 00:27:53","4.9S","175.5E","24.0","","","","","3.9e10","0.13"
"2010-12-09 02:54:07","54.5S","169.7W","66.0","","","","","6.3e10","0.2"
"2010-12-01 06:31:46","72.5S","144.9E","33.3","","","","","13.3e10","0.39"
"2010-11-21 14:45:27","1.9N","143.3E","50.0","","","","","8.1e10","0.25"
"2010-11-19 07:25:56","10.3S","148.8E","30.0","","","","","3.3e10","0.11"
"2010-11-10 08:26:35","74.5N","77.7W","","","","","","6.8e10","0.22"
"2010-11-09 13:05:46","56.3S","16.7W","37.0","","","","","8.6e10","0.27"
"2010-11-09 06:56:52","14.0S","160.0W","26.0","","","","","2.0e10","0.073"
"2010-10-27 11:27:39","14.1S","67.7E","35.2","","","","","14.5e10","0.42"
"2010-10-08 09:58:01","","","","","","","","2.0e10","0.073"
"2010-09-24 12:02:07","67.4S","50.6W","","","","","","5.0e10","0.16"
"2010-09-18 05:04:41","7.4N","36.7E","","","","","","6.7e10","0.21"
"2010-09-08 19:51:36","13.9S","65.5W","46.3","","","","","6.5e10","0.21"
"2010-09-05 23:37:33","25.9S","49.0E","35.2","","","","","68.3e10","1.7"
"2010-09-03 12:04:58","61.0S","146.7E","33.3","12.3","9.8","-3.5","6.5","175.0e10","3.8"
"2010-08-17 04:19:37","20.7N","114.3W","33.3","","","","","2.1e10","0.076"
"2010-08-12 02:59:36","","","","","","","","2.8e10","0.098"
"2010-08-05 19:31:48","21.5S","46.6E","","","","","","3.6e10","0.12"
"2010-07-15 01:49:56","60.9N","178.1W","","","","","","2.4e10","0.086"
"2010-07-06 23:54:43","34.1S","174.5W","26.0","15.7","12.1","10.0","0.2","756.0e10","14"
"2010-06-26 06:04:38","0.5S","133.2E","50.0","","","","","11.3e10","0.34"
"2010-06-21 06:42:00","22.5S","120.9W","","","","","","16.3e10","0.47"
"2010-06-17 04:24:45","26.1S","100.0E","42.0","","","","","11.9e10","0.35"
"2010-04-17 02:21:58","13.1N","173.0W","","","","","","5.6e10","0.18"
"2010-04-16 04:38:52","1.8N","176.9W","22.2","18.8","12.4","-13.2","-5.2","84.4e10","2"
"2010-04-06 18:33:12","52.8N","146.5W","","","","","","8.0e10","0.25"
"2010-03-18 16:11:16","32.4S","51.8W","","","","","","17.5e10","0.5"
"2010-03-15 15:55:43","","","","","","","","8.0e10","0.25"
"2010-03-14 18:44:42","33.8N","90.2W","35.6","","","","","4.2e10","0.14"
"2010-03-08 22:44:41","18.2N","110.1E","53.0","","","","","3.0e10","0.1"
"2010-03-08 22:02:07","32.0N","92.9W","52.0","24.5","19.1","11.0","10.7","32.3e10","0.85"
"2010-02-28 22:24:50","48.7N","21.0E","37.0","15.1","-11.7","2.7","-9.1","15.3e10","0.44"
"2010-02-26 22:46:13","37.3S","166.0W","","","","","","23.7e10","0.65"
"2010-02-24 19:55:58","2.6S","102.2W","","","","","","9.3e10","0.28"
"2010-01-15 19:17:54","8.3S","27.0E","25.0","14.0","-9.1","6.0","8.8","49.2e10","1.2"
"2009-12-31 16:24:23","","","","","","","","8.3e10","0.26"
"2009-12-31 12:50:25","37.9N","178.3W","20.7","","","","","10.2e10","0.31"
"2009-11-25 01:36:20","52.8S","136.5E","","","","","","6.4e10","0.2"
"2009-11-21 20:53:00","22.0S","29.2E","38.0","32.1","3","-17","27","1.00e13","18"
"2009-11-18 17:36:07","","","","","","","","8.5e10","0.26"
"2009-11-18 07:07:19","40.4N","113.2W","31.5","","","","","73.6e10","1.8"
"2009-11-14 19:58:55","","","","","","","","2.3e10","0.082"
"2009-11-07 11:31:59","45.5N","157.7W","","","","","","2.2e10","0.079"
"2009-11-07 10:41:38","24.0N","64.1E","37.0","","","","","4.2e10","0.14"
"2009-10-11 12:49:51","78.3S","70.2E","27.8","","","","","7.1e10","0.22"
"2009-10-08 02:57:00","4.2S","120.6E","19.1","19.2","14","-16","-6","2.00e13","33"
"2009-09-27 22:22:48","36.0S","67.6W","37.0","","","","","8.9e10","0.27"
"2009-09-18 20:13:56","7.7N","29.5W","","","","","","14.4e10","0.42"
"2009-09-04 02:23:18","42.5N","110.0E","28.3","24.0","19.2","-11.6","-8.5","96.5e10","2.3"
"2009-08-23 21:17:19","67.7S","18.3E","34.0","12.2","-6.9","5.3","8.5","28.0e10","0.75"
"2009-07-31 02:13:19","8.9N","121.9W","","","","","","2.5e10","0.089"
"2009-07-16 06:39:05","24.4S","59.8W","32.2","","","","","72.7e10","1.8"
"2009-07-03 04:02:00","","","","","","","","2.7e10","0.095"
"2009-06-27 13:08:05","26.6S","12.6W","26.1","15.2","-11.6","1.6","9.7","3.2e10","0.11"
"2009-06-20 11:04:41","","","","","","","","2.7e10","0.095"
"2009-06-18 04:39:00","23.7S","16.0W","57.4","","","","","3.3e10","0.11"
"2009-06-09 22:42:28","54.9N","152.7W","34.2","","","","","28.1e10","0.76"
"2009-05-31 06:05:47","19.7N","121.0W","","","","","","14.3e10","0.42"
"2009-05-13 20:20:16","","","","","","","","7.3e10","0.23"
"2009-05-04 11:39:03","36.4N","160.4W","40.7","","","","","14.0e10","0.41"
"2009-04-20 04:01:39","6.0N","84.3E","","","","","","2.2e10","0.079"
"2009-04-10 18:42:45","44.7S","25.7E","32.4","19.1","-18.9","2.6","0.3","27.0e10","0.73"
"2009-03-15 05:44:33","21.7S","98.6W","","","","","","3.2e10","0.11"
"2009-03-04 00:38:05","","","","","","","","17.0e10","0.48"
"2009-03-01 09:00:59","","","","","","","","2.0e10","0.073"
"2009-02-20 12:15:57","64.9S","70.0W","","","","","","5.0e10","0.16"
"2009-02-07 19:51:32","56.6N","69.8E","40.0","15.4","-2.4","-1.9","-15.1","160.0e10","3.5"
"2009-01-12 22:24:56","47.8N","44.3W","","","","","","4.8e10","0.16"
"2009-01-10 07:42:39","64.0S","122.8E","26.5","","","","","2.3e10","0.082"
"2008-12-24 15:51:58","68.9S","102.0W","21.1","24.1","-13.4","18.0","8.8","3.5e10","0.12"
"2008-12-12 11:36:36","7.0S","9.7W","50.0","","","","","21.6e10","0.6"
"2008-12-09 06:08:16","","","","","","","","3.4e10","0.12"
"2008-11-24 22:01:19","57.9S","146.1E","34.8","23.7","21.5","10.0","0.4","14.6e10","0.42"
"2008-11-21 00:26:44","53.1N","109.9W","28.2","12.9","3.9","-4.1","-11.6","14.2e10","0.41"
"2008-11-18 09:41:51","29.4S","75.9E","35.2","22.4","-4.0","-15.2","-16.0","2.5e10","0.089"
"2008-11-09 02:38:34","14.5N","112.7E","29.6","","","","","22.2e10","0.61"
"2008-10-21 02:20:25","32.8N","165.6W","29.6","11.3","9.6","5.8","1.5","4.6e10","0.15"
"2008-10-10 09:34:18","57.3S","17.0E","21.4","","","","","18.0e10","0.51"
"2008-10-07 02:45:45","20.9N","31.4E","38.9","13.3","-9.0","9.0","3.8","39.5e10","1"
"2008-09-09 09:49:41","","","","","","","","5.9e10","0.19"
