"Peak Brightness Date/Time (UT)","Latitude (deg.)","Longitude (deg.)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total Radiated Energy (J)","Calculated Total Impact Energy (kt)"
"2021-09-29 10:50:59","53.9N","148.0W","28.0","21.2","-3.5","-9.0","-18.9","13.7e10","0.4"
"2021-09-06 17:55:42","2.1S","111.8W","26.0","13.6","-4.4","6.9","10.9","3.1e10","0.11"
"2021-07-30 08:06:34","7.8S","90.1E","63.0","","","","","14.6e10","0.42"
"2021-07-29 13:19:57","42.4N","98.4E","26.4","14.7","-1.6","-11.9","-8.4","3.7e10","0.13"
"2021-07-07 13:41:14","","","","","","","","3.3e10","0.11"
"2021-07-05 03:46:24","44.3N","164.2W","43.4","15.7","0.7","15.7","-0.5","74e10","1.8"
"2021-06-09 05:43:59","17.9S","55.3W","","","","","","2.3e10","0.082"
"2021-05-16 15:51:08","52.1S","171.2W","37.0","","","","","3.8e10","0.13"
"2021-05-06 05:54:27","34.7S","141.0E","31.0","26.6","9.6","-24.4","-4.6","2.1e10","0.076"
"2021-05-02 14:12:49","12.3N","43.4W","","","","","","2.5e10","0.089"
"2021-04-13 02:16:47","26.8N","79.1W","44.4","14.1","-2.8","12.6","5.6","2.1e10","0.076"
"2021-04-02 15:52:58","71.2N","106.7E","40.0","14.1","-8.9","6.3","-9.0","13.7e10","0.4"
"2021-03-06 08:43:06","48.6S","90.4E","31.1","18.1","12.7","-4.7","12.0","14.1e10","0.41"
"2021-03-05 13:50:01","81.1S","141.1E","32.5","23.3","10.1","-8.4","19.2","3.9e10","0.13"
"2021-02-28 03:47:37","9.2N","64.1W","","","","","","2.8e10","0.098"
"2021-02-09 23:27:29","75.8N","92.8W","31.0","13.1","-5.2","6.3","-10.3","3.0e10","0.1"
"2021-02-02 10:03:21","48.7N","80.1E","20","12.8","4.0","-6.7","-10.1","3.1e10","0.11"
"2021-01-31 02:59:39","5.3N","115.2E","39.4","15.2","14.0","-5.8","1.7","26.7e10","0.72"
"2021-01-29 16:12:47","38.8N","51.3W","30.0","14.3","-14.2","1.9","-.6","7.7e10","0.24"
"2021-01-25 03:01:37","38.5N","47.6W","19.1","","","","","7.5e10","0.23"
"2021-01-24 07:33:43","45.0S","95.5E","37.5","19.2","13.3","-3.7","13.3","6.1e10","0.2"
"2020-12-29 20:32:22","14.9N","158.2W","33.0","14.4","-3.0","10.2","-9.7","4.9e10","0.16"
