"0STARLINK-1007"
"1 44713U 19074A   24275.44473541  .01066759  68353-3  11420-2 0  9994"
"2 44713  53.0410 335.9548 0011214 359.8797 121.6949 16.09469861270515"
"0STARLINK-1008"
"1 44714U 19074B   24275.56439266  .00023880  00000+0  16165-2 0  9993"
"2 44714  53.0574  19.5113 0001652  92.1426 267.9752 15.06402969269922"
"0STARLINK-1009"
"1 44715U 19074C   24275.55333792  .00012288  00000+0  84278-3 0  9991"
"2 44715  53.0552  19.5540 0001434  76.8633 283.2516 15.06382033269917"
"0STARLINK-1010"
"1 44716U 19074D   24275.57176479 -.00002965  00000+0 -18035-3 0  9992"
"2 44716  53.0540  19.4717 0001459 104.2314 255.8837 15.06379637269905"
"0STARLINK-1011"
"1 44717U 19074E   24275.50356977 -.00000134  00000+0  99051-5 0  9993"
"2 44717  53.0539  39.7759 0001561 103.6655 256.4508 15.06387568269634"
"0STARLINK-1012"
"1 44718U 19074F   24275.47594051  .00000331  00000+0  41149-4 0  9999"
"2 44718  53.0564  19.9044 0001473  80.3850 279.7306 15.06369375269900"
"0STARLINK-1013"
"1 44719U 19074G   24275.54965009  .00000676  00000+0  64314-4 0  9994"
"2 44719  53.0544  19.5710 0001634 109.5927 250.5238 15.06378239269914"
"0STARLINK-1014"
"1 44720U 19074H   24275.46231415  .00047164  00000+0  25197-2 0  9991"
"2 44720  53.0539  13.9918 0001513 345.2037  14.8911 15.14666368269994"
"0STARLINK-1015"
"1 44721U 19074J   24275.52388623 -.00002393  00000+0 -14187-3 0  9998"
"2 44721  53.0564  20.0322 0001936 117.2783 242.8404 15.06375648269905"
"0STARLINK-1017"
"1 44723U 19074L   24275.57544706  .00002281  00000+0  17205-3 0  9999"
"2 44723  53.0539  19.4571 0001211 104.8992 255.2131 15.06389297269929"
"0STARLINK-1019"
"1 44724U 19074M   24275.47224816 -.00002714  00000+0 -16351-3 0  9990"
"2 44724  53.0561  19.9222 0001594  84.4681 275.6490 15.06373201269905"
"0STARLINK-1020"
"1 44725U 19074N   24275.34508112  .00000019  00000+0  20179-4 0  9999"
"2 44725  53.0542  40.4910 0001446  93.8689 266.2465 15.06380642269608"
"0STARLINK-1021"
"1 44726U 19074P   24275.46855624  .00005698  00000+0  40126-3 0  9997"
"2 44726  53.0507  19.9340 0000833  38.8819 321.2230 15.06384903269900"
"0STARLINK-1027"
"1 44732U 19074V   24275.40036503 -.00000165  00000+0  78322-5 0  9991"
"2 44732  53.0589  40.2528 0001408  98.7125 261.4023 15.06386976269611"
"0STARLINK-1028"
"1 44733U 19074W   24275.46486429 -.00003975  00000+0 -24831-3 0  9991"
"2 44733  53.0545  19.9530 0001227  73.2763 286.8361 15.06373031269901"
"0STARLINK-1029"
"1 44734U 19074X   24274.81613458 -.00003927  00000+0 -24478-3 0  9998"
"2 44734  53.0549 302.8667 0002894  90.9525 269.1796 15.06410014270736"
"0STARLINK-1030"
"1 44735U 19074Y   24275.34136675  .00002013  00000+0  15401-3 0  9998"
"2 44735  53.0490  40.5048 0002259 108.4235 251.6999 15.06409018269606"
"0STARLINK-1031"
"1 44736U 19074Z   24275.35613654 -.00000488  00000+0 -13822-4 0  9999"
"2 44736  53.0518  40.4398 0002585  91.3447 268.7838 15.06386232269616"
"0STARLINK-1032"
"1 44737U 19074AA  24275.49988203  .00010798  00000+0  74310-3 0  9991"
"2 44737  53.0547  39.7911 0001348  44.6100 315.4997 15.06380830269630"
"0STARLINK-1035"
"1 44740U 19074AD  24275.49618304  .00009262  00000+0  64040-3 0  9990"
"2 44740  53.0542  39.8196 0001311  85.6169 274.4969 15.06370063269635"
"0STARLINK-1036"
"1 44741U 19074AE  24275.50725444  .00000137  00000+0  28063-4 0  9995"
"2 44741  53.0536  39.7605 0001049  72.1720 287.9383 15.06388471269636"
"0STARLINK-1038"
"1 44743U 19074AG  24275.42431706  .00011528  00000+0  79143-3 0  9993"
"2 44743  53.0538  60.1325 0000562  60.9718 299.1327 15.06403143269343"
"0STARLINK-1039"
"1 44744U 19074AH  24275.43536392  .00000689  00000+0  65131-4 0  9991"
"2 44744  53.0531  60.0869 0000466  14.3295 345.7707 15.06400277269340"
"0STARLINK-1042"
"1 44747U 19074AL  24275.52744735  .00022092  00000+0  94961-3 0  9990"
"2 44747  53.0541  43.7714 0002971 326.8024  33.2785 15.22605047269597"
"0STARLINK-1043"
"1 44748U 19074AM  24274.81611916  .00008764  00000+0  60613-3 0  9993"
"2 44748  53.0521  62.8642 0001445  97.2109 262.9045 15.06425194269085"
"0STARLINK-1046"
"1 44751U 19074AQ  24275.42798978  .00001867  00000+0  14420-3 0  9991"
"2 44751  53.0523  60.1148 0000849  73.8855 286.2228 15.06402182269341"
"0STARLINK-1047"
"1 44752U 19074AR  24275.51461507 -.00003137  00000+0 -19186-3 0  9995"
"2 44752  53.0557  39.7276 0000968  69.3584 290.7509 15.06387442269639"
"0STARLINK-1048"
"1 44753U 19074AS  24275.45381590 -.00000236  00000+0  30367-5 0  9994"
"2 44753  53.0562  19.9998 0001670 108.2666 251.8505 15.06381580269903"
"0STARLINK-1052"
"1 44757U 19074AW  24275.52973428  .00126880  00000+0  30348-2 0  9992"
"2 44757  53.0367   3.1114 0005903 254.8478 105.1872 15.40537675270150"
"0STARLINK-1053"
"1 44758U 19074AX  24274.41438956  .00014209  00000+0  97061-3 0  9999"
"2 44758  53.0510  64.7518 0001036  88.7211 271.3897 15.06410177269198"
"0STARLINK-1054"
"1 44759U 19074AY  24274.46228486  .00002342  00000+0  17606-3 0  9992"
"2 44759  53.0529  64.4536 0001830  92.9778 267.1420 15.06398932266672"
"0STARLINK-1055"
"1 44760U 19074AZ  24275.19426693  .00149283  00000+0  22381-2 0  9996"
"2 44760  53.0096 343.6367 0006838 292.7623  67.2664 15.53920716270407"
"0STARLINK-1056"
"1 44761U 19074BA  24274.79030381 -.00001576  00000+0 -86876-4 0  9992"
"2 44761  53.0544  62.9815 0001233  99.2747 260.8381 15.06434037269089"
"0STARLINK-1057"
"1 44762U 19074BB  24275.52199966  .00000981  00000+0  84789-4 0  9998"
"2 44762  53.0544  39.6942 0001601  95.3210 264.7961 15.06392961269630"
"0STARLINK-1058"
"1 44763U 19074BC  24273.71759350  .00026032  00000+0  17446-2 0  9996"
"2 44763  53.0613  68.1488 0004243   2.1283 357.9724 15.06723814268918"
"0STARLINK-1059"
"1 44764U 19074BD  24275.25001157  .00174836  00000+0  17274-2 0  9998"
"2 44764  53.0731 296.2952 0005820 355.7304 307.5237 15.64816825271107"
"0STARLINK-1060"
"1 44765U 19074BE  24275.33771468  .00013343  00000+0  91353-3 0  9993"
"2 44765  53.0491  40.5194 0000994  87.5109 272.5994 15.06377488269605"
"0STARLINK-1061"
"1 44766U 19074BF  24275.58334491  .00449369  00000+0  26429-1 0  9993"
"2 44766  53.0522  59.3882 0001207  82.4807 196.9650 15.09302303269379"
"0STARLINK-1062"
"1 44767U 19074BG  24274.72035836  .00002572  00000+0  19143-3 0  9998"
"2 44767  53.0562  63.8748 0001293  86.0690 274.0447 15.06414199269062"
"0STARLINK-1063"
"1 44768U 19074BH  24275.41694265  .00004093  00000+0  29352-3 0  9996"
"2 44768  53.0566  60.1692 0001385  65.7074 294.4059 15.06397649269343"
"0STARLINK-1067"
"1 44771U 19074BL  24275.40587429  .00007915  00000+0  54951-3 0  9991"
"2 44771  53.0565  60.2161 0000425 168.3843 191.7156 15.06406577269344"
"0STARLINK-1068"
"1 44772U 19074BM  24275.39667880 -.00000250  00000+0  21146-5 0  9998"
"2 44772  53.0593  40.2591 0001389  97.7704 262.3442 15.06383680269614"
"0STARLINK-1073"
"1 44914U 20001A   24275.47961793  .00009348  00000+0  64549-3 0  9995"
"2 44914  53.0529 179.8902 0001693  72.7828 287.3346 15.06406810260830"
"0STARLINK-1084"
"1 44915U 20001B   24275.44273158 -.00002112  00000+0 -12282-3 0  9995"
"2 44915  53.0544 180.0536 0001729  89.5956 270.5231 15.06437123260831"
"0STARLINK-1098"
"1 44917U 20001D   24275.44641748 -.00034173  00000+0 -22858-2 0  9992"
"2 44917  53.0538 180.0342 0001308  95.2290 264.8848 15.06408280260831"
"0STARLINK-1102"
"1 44920U 20001G   24274.92823463  .00047806  00000+0  11083-2 0  9997"
"2 44920  53.0475  97.3521 0001406 288.7835  71.3017 15.41963705261968"
"0STARLINK-1103"
"1 44921U 20001H   24275.15798146  .00005622  00000+0  39596-3 0  9993"
"2 44921  53.0534 181.2877 0001010  75.3893 284.7208 15.06404627260760"
"0STARLINK-1104"
"1 44922U 20001J   24275.46116893 -.00010784  00000+0 -70614-3 0  9994"
"2 44922  53.0510 179.9752 0000961  98.4530 261.6568 15.06403633260836"
"0STARLINK-1106"
"1 44923U 20001K   24275.25001157  .00125022  00000+0  30234-2 0  9991"
"2 44923  53.0123 115.2080 0006886 160.4913 181.9932 15.40207237261718"
"0STARLINK-1112"
"1 44925U 20001M   24275.15891194  .00046408  00000+0  31061-2 0  9999"
"2 44925  53.0541 181.3289 0001204  96.2589 263.8537 15.06494694260787"
"0STARLINK-1114"
"1 44927U 20001P   24275.43536637 -.00001124  00000+0 -56475-4 0  9996"
"2 44927  53.0543 180.0831 0004095  74.6564 285.4877 15.06420606260839"
"0STARLINK-1123"
"1 44930U 20001S   24275.45010860  .00024582  00000+0  16614-2 0  9997"
"2 44930  53.0538 180.0214 0002498  57.4424 302.6806 15.06444376260835"
"0STARLINK-1130 (DARKSAT)"
"1 44932U 20001U   24275.43906604  .00017190  00000+0  11703-2 0  9998"
"2 44932  53.0539 180.0692 0002399  79.6735 280.4524 15.06394149262068"
"0STARLINK-1144"
"1 44933U 20001V   24275.46097740  .00059370  00000+0  38484-2 0  9995"
"2 44933  53.0514 179.9336 0001705 145.3654 214.7446 15.07561635262122"
"0STARLINK-1071"
"1 44934U 20001W   24275.41142553  .00005935  00000+0  41694-3 0  9990"
"2 44934  53.0512 160.1953 0003253  71.5965 288.5377 15.06407586261105"
"0STARLINK-1079"
"1 44937U 20001Z   24275.03824764  .00029427  00000+0  12169-2 0  9998"
"2 44937  53.0537 146.3246 0006238  93.1148 267.0562 15.23743624261276"
"0STARLINK-1091"
"1 44940U 20001AC  24274.91012946  .00035319  00000+0  23748-2 0  9991"
"2 44940  53.0544 162.4449 0001305  81.5068 278.6069 15.06452788261026"
"0STARLINK-1094"
"1 44941U 20001AD  24274.93224689  .00031000  00000+0  20885-2 0  9995"
